Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Spndng_2023,Avg_Spnd_Per_Clm_2023,Tot_Clms_2023
Aminocaproic Acid*,Aminocaproic Acid,725727.48,,,
Aminocaproic Acid*,Aminocaproic Acid,3028920.35,263361.92,625.5627553,421
Aminocaproic Acid*,Aminocaproic Acid,339352.77,,,
Aminocaproic Acid*,Aminocaproic Acid,23995.31,,,
Aminocaproic Acid*,Aminocaproic Acid,304544.74,,,
Aminocaproic Acid*,Aminocaproic Acid,47699.25,943212.42,1687.320966,559
Aminocaproic Acid*,Aminocaproic Acid,64273.28,,,
Aminocaproic Acid*,Aminocaproic Acid,1741942.57,-0.486186729,,
Aminocaproic Acid*,Aminocaproic Acid,11919.26,,,
Aminocaproic Acid*,Aminocaproic Acid,7604.78,1390.35,23.1725,60
Aminocaproic Acid*,Aminocaproic Acid,211409.88,,,
Aminocaproic Acid*,Aminocaproic Acid,1037.84,,,
Aminocaproic Acid*,Aminocaproic Acid,820104.44,2049394.95,1031.920922,1986
Aminocaproic Acid*,Aminocaproic Acid,360582.77,,,
Aminophylline,Aminophylline,1395072.39,821765.79,57.8504604,14205
Aminophylline,Aminophylline,1379145.08,821123.56,58.19031677,14111
Aminophylline,Aminophylline,11096.66,206.33,7.641851852,27
Aminophylline,Aminophylline,204.25,-0.081779206,,
Aminophylline,Aminophylline,4830.65,308.84,6.713913044,46
Aminosyn II,Parenteral Amino Acid 15% No.2,24894.54,,,
Aminosyn II,Parenteral Amino Acid 15% No.2,24894.54,,,
Amiodarone HCl*,Amiodarone HCl,4404495.7,4985708.27,21.40248238,232950
Amiodarone HCl*,Amiodarone HCl,87236.6,116853.43,282.2546618,414
Amiodarone HCl*,Amiodarone HCl,237089.76,515234.98,1201.013939,429
Amiodarone HCl*,Amiodarone HCl,72290.07,59567.81,181.0571733,329
Amiodarone HCl*,Amiodarone HCl,845117.6,129171.72,22.34804844,5780
Amiodarone HCl*,Amiodarone HCl,16366.51,,,
Amiodarone HCl*,Amiodarone HCl,1017.58,3651.23,91.28075,40
Amiodarone HCl*,Amiodarone HCl,325837.57,9079.32,14.0112963,648
Amiodarone HCl*,Amiodarone HCl,70311.05,,,
Amiodarone HCl*,Amiodarone HCl,76347.38,130141.23,224.381431,580
Amiodarone HCl*,Amiodarone HCl,1072524.62,1640279.63,12.96786755,126488
Amiodarone HCl*,Amiodarone HCl,62321.92,32378.72,1156.382857,28
Amiodarone HCl*,Amiodarone HCl,731970.1,428750.13,35.18094117,12187
Amiodarone HCl*,Amiodarone HCl,116362.96,158961.26,571.8030935,278
Amiodarone HCl*,Amiodarone HCl,7887.45,36399.29,2599.949286,14
Amiodarone HCl*,Amiodarone HCl,75918.72,10920.77,47.07228448,232
Amiodarone HCl*,Amiodarone HCl,70805.15,,,
Amiodarone HCl*,Amiodarone HCl,692573.37,487669.8,27.92428997,17464
Amitiza,Lubiprostone,48159368.39,22326342.21,367.1250405,60814
Amitiza,Lubiprostone,48159368.39,22326342.21,367.1250405,60814
Amitriptyline HCl,Amitriptyline HCl,37013836.57,26435518.84,11.57207193,2284424
Amitriptyline HCl,Amitriptyline HCl,83170.2,,,
Amitriptyline HCl,Amitriptyline HCl,9442865.39,4769134.87,10.45642775,456096
Amitriptyline HCl,Amitriptyline HCl,809354.24,256798.98,20.87966339,12299
Amitriptyline HCl,Amitriptyline HCl,4006615.5,1883096.5,11.3862761,165383
Amitriptyline HCl,Amitriptyline HCl,492398.53,420921.2,476.1552036,884
Amitriptyline HCl,Amitriptyline HCl,17419078.53,3385566.86,10.48266968,322968
Amitriptyline HCl,Amitriptyline HCl,921248.61,12000.33,11.56101156,1038
Amitriptyline HCl,Amitriptyline HCl,2133648.33,,,
Amitriptyline HCl,Amitriptyline HCl,468448.24,11614.39,237.0283674,49
Amitriptyline HCl,Amitriptyline HCl,3904.14,598530.03,745.3674097,803
Amitriptyline HCl,Amitriptyline HCl,1715485.14,386847.99,13.15004385,29418
Amitriptyline HCl,Amitriptyline HCl,1734438.25,2326075.66,13.42186123,173305
Amitriptyline HCl,Amitriptyline HCl,21627.77,,,
Amjevita(Cf),Adalimumab-Atto,3248289.32,,,
Amjevita(Cf),Adalimumab-Atto,3248289.32,,,
Amjevita(Cf) Autoinjector,Adalimumab-Atto,24651424.51,,,
Amjevita(Cf) Autoinjector,Adalimumab-Atto,4315330.49,,,
Amjevita(Cf) Autoinjector,Adalimumab-Atto,20336094.02,,,
